Name,Pokemon Number,Stat Total,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Mega,First Type,Second Type,Species,First Ability,Second Ability,Hidden Ability,Generation,Egg Group 1,Egg Group 2,Is Sub Legendary,Is Legendary,Is Mythical
Kakuna,14,205,45,25,50,25,25,35,False,Bug,Poison,Cocoon Pokémon,Shed Skin,None,None,Generation 1,Bug,None,False,False,False
Beedrill,15,395,65,90,40,45,80,75,False,Bug,Poison,Poison Bee Pokémon,Swarm,None,Sniper,Generation 1,Bug,None,False,False,False
Beedrill(Mega Beedrill),15,495,65,150,40,15,80,145,True,Bug,Poison,Poison Bee Pokémon,Adaptability,None,None,Generation 6,Bug,None,False,False,False
Pidgey,16,251,40,45,40,35,35,56,False,Normal,Flying,Tiny Bird Pokémon,Keen Eye,Tangled Feet,Big Pecks,Generation 1,Flying,None,False,False,False
Pidgeotto,17,349,63,60,55,50,50,71,False,Normal,Flying,Bird Pokémon,Keen Eye,Tangled Feet,Big Pecks,Generation 1,Flying,None,False,False,False
Pidgeot,18,479,83,80,75,70,70,101,False,Normal,Flying,Bird Pokémon,Keen Eye,Tangled Feet,Big Pecks,Generation 1,Flying,None,False,False,False
Pidgeot(Mega Pidgeot),18,579,83,80,80,135,80,121,True,Normal,Flying,Bird Pokémon,No Guard,None,None,Generation 6,Flying,None,False,False,False
Rattata,19,253,30,56,35,25,35,72,False,Normal,None,Mouse Pokémon,Run Away,Guts,Hustle,Generation 1,Field,None,False,False,False
Rattata(Alolan Rattata),19,253,30,56,35,25,35,72,False,Dark,Normal,Mouse Pokémon,Gluttony,Hustle,Thick Fat,Generation 7,Field,None,False,False,False
Raticate,20,413,55,81,60,50,70,97,False,Normal,None,Mouse Pokémon,Run Away,Guts,Hustle,Generation 1,Field,None,False,False,False
Raticate(Alolan Raticate),20,413,75,71,70,40,80,77,False,Dark,Normal,Mouse Pokémon,Gluttony,Hustle,Thick Fat,Generation 7,Field,None,False,False,False
Spearow,21,262,40,60,30,31,31,70,False,Normal,Flying,Tiny Bird Pokémon,Keen Eye,None,Sniper,Generation 1,Flying,None,False,False,False
Fearow,22,442,65,90,65,61,61,100,False,Normal,Flying,Beak Pokémon,Keen Eye,None,Sniper,Generation 1,Flying,None,False,False,False
Ekans,23,288,35,60,44,40,54,55,False,Poison,None,Snake Pokémon,Intimidate,Shed Skin,Unnerve,Generation 1,Dragon,Field,False,False,False
Arbok,24,448,60,95,69,65,79,80,False,Poison,None,Cobra Pokémon,Intimidate,Shed Skin,Unnerve,Generation 1,Dragon,Field,False,False,False
Pikachu,25,320,35,55,40,50,50,90,False,Electric,None,Mouse Pokémon,Static,None,Lightning Rod,Generation 1,Fairy,Field,False,False,False
Pikachu(Partner Pikachu),25,430,45,80,50,75,60,120,False,Electric,None,Mouse Pokémon,None,None,None,Generation 1,Fairy,Field,False,False,False
Raichu,26,485,60,90,55,90,80,110,False,Electric,None,Mouse Pokémon,Static,None,Lightning Rod,Generation 1,Fairy,Field,False,False,False
Raichu(Alolan Raichu),26,485,60,85,50,95,85,110,False,Electric,Psychic,Mouse Pokémon,Surge Surfer,None,None,Generation 7,Fairy,Field,False,False,False
Sandshrew,27,300,50,75,85,20,30,40,False,Ground,None,Mouse Pokémon,Sand Veil,None,Sand Rush,Generation 1,Field,None,False,False,False
Sandshrew(Alolan Sandshrew),27,300,50,75,90,10,35,40,False,Ice,Steel,Mouse Pokémon,Snow Cloak,None,Slush Rush,Generation 7,Field,None,False,False,False
Sandslash,28,450,75,100,110,45,55,65,False,Ground,None,Mouse Pokémon,Sand Veil,None,Sand Rush,Generation 1,Field,None,False,False,False
Sandslash(Alolan Sandslash),28,450,75,100,120,25,65,65,False,Ice,Steel,Mouse Pokémon,Snow Cloak,None,Slush Rush,Generation 7,Field,None,False,False,False
Nidoran♀,29,275,55,47,52,40,40,41,False,Poison,None,Poison Pin Pokémon,Poison Point,Rivalry,Hustle,Generation 1,Field,Monster,False,False,False
Nidorina,30,365,70,62,67,55,55,56,False,Poison,None,Poison Pin Pokémon,Poison Point,Rivalry,Hustle,Generation 1,Undiscovered,None,False,False,False
Nidoqueen,31,505,90,92,87,75,85,76,False,Poison,Ground,Drill Pokémon,Poison Point,Rivalry,Sheer Force,Generation 1,Undiscovered,None,False,False,False
Nidoran♂,32,273,46,57,40,40,40,50,False,Poison,None,Poison Pin Pokémon,Poison Point,Rivalry,Hustle,Generation 1,Field,Monster,False,False,False
Nidorino,33,365,61,72,57,55,55,65,False,Poison,None,Poison Pin Pokémon,Poison Point,Rivalry,Hustle,Generation 1,Field,Monster,False,False,False
Nidoking,34,505,81,102,77,85,75,85,False,Poison,Ground,Drill Pokémon,Poison Point,Rivalry,Sheer Force,Generation 1,Field,Monster,False,False,False
Clefairy,35,323,70,45,48,60,65,35,False,Fairy,None,Fairy Pokémon,Cute Charm,Magic Guard,Friend Guard,Generation 1,Fairy,None,False,False,False
Clefable,36,483,95,70,73,95,90,60,False,Fairy,None,Fairy Pokémon,Cute Charm,Magic Guard,Unaware,Generation 1,Fairy,None,False,False,False
Vulpix,37,299,38,41,40,50,65,65,False,Fire,None,Fox Pokémon,Flash Fire,None,Drought,Generation 1,Field,None,False,False,False
Vulpix(Alolan Vulpix),37,299,38,41,40,50,65,65,False,Ice,None,Fox Pokémon,Snow Cloak,None,Snow Warning,Generation 7,Field,None,False,False,False
Ninetales,38,505,73,76,75,81,100,100,False,Fire,None,Fox Pokémon,Flash Fire,None,Drought,Generation 1,Field,None,False,False,False
Ninetales(Alolan Ninetales),38,505,73,67,75,81,100,109,False,Ice,Fairy,Fox Pokémon,Snow Cloak,None,Snow Warning,Generation 7,Field,None,False,False,False
Jigglypuff,39,270,115,45,20,45,25,20,False,Normal,Fairy,Balloon Pokémon,Cute Charm,Competitive,Friend Guard,Generation 1,Fairy,None,False,False,False
Wigglytuff,40,435,140,70,45,85,50,45,False,Normal,Fairy,Balloon Pokémon,Cute Charm,Competitive,Frisk,Generation 1,Fairy,None,False,False,False
Zubat,41,245,40,45,35,30,40,55,False,Poison,Flying,Bat Pokémon,Inner Focus,None,Infiltrator,Generation 1,Flying,None,False,False,False
Golbat,42,455,75,80,70,65,75,90,False,Poison,Flying,Bat Pokémon,Inner Focus,None,Infiltrator,Generation 1,Flying,None,False,False,False
Oddish,43,320,45,50,55,75,65,30,False,Grass,Poison,Weed Pokémon,Chlorophyll,None,Run Away,Generation 1,Grass,None,False,False,False
Gloom,44,395,60,65,70,85,75,40,False,Grass,Poison,Weed Pokémon,Chlorophyll,None,Stench,Generation 1,Grass,None,False,False,False
Vileplume,45,490,75,80,85,110,90,50,False,Grass,Poison,Flower Pokémon,Chlorophyll,None,Effect Spore,Generation 1,Grass,None,False,False,False
Paras,46,285,35,70,55,45,55,25,False,Bug,Grass,Mushroom Pokémon,Effect Spore,Dry Skin,Damp,Generation 1,Bug,Grass,False,False,False
Parasect,47,405,60,95,80,60,80,30,False,Bug,Grass,Mushroom Pokémon,Effect Spore,Dry Skin,Damp,Generation 1,Bug,Grass,False,False,False
Venonat,48,305,60,55,50,40,55,45,False,Bug,Poison,Insect Pokémon,Compound Eyes,Tinted Lens,Run Away,Generation 1,Bug,None,False,False,False
Venomoth,49,450,70,65,60,90,75,90,False,Bug,Poison,Poison Moth Pokémon,Shield Dust,Tinted Lens,Wonder Skin,Generation 1,Bug,None,False,False,False
Diglett,50,265,10,55,25,35,45,95,False,Ground,None,Mole Pokémon,Sand Veil,Arena Trap,Sand Force,Generation 1,Field,None,False,False,False
Diglett(Alolan Diglett),50,265,10,55,30,35,45,90,False,Ground,Steel,Mole Pokémon,Sand Veil,Tangling Hair,Sand Force,Generation 7,Field,None,False,False,False
Dugtrio,51,425,35,100,50,50,70,120,False,Ground,None,Mole Pokémon,Sand Veil,Arena Trap,Sand Force,Generation 1,Field,None,False,False,False
Dugtrio(Alolan Dugtrio),51,425,35,100,60,50,70,110,False,Ground,Steel,Mole Pokémon,Sand Veil,Tangling Hair,Sand Force,Generation 7,Field,None,False,False,False
Meowth,52,290,40,45,35,40,40,90,False,Normal,None,Scratch Cat Pokémon,Pickup,Technician,Unnerve,Generation 1,Field,None,False,False,False
Meowth(Alolan Meowth),52,290,40,35,35,50,40,90,False,Dark,None,Scratch Cat Pokémon,Pickup,Technician,Rattled,Generation 7,Field,None,False,False,False
Meowth(Galarian Meowth),52,290,50,65,55,40,40,40,False,Steel,None,Scratch Cat Pokémon,Pickup,Tough Claws,Unnerve,Generation 8,Field,None,False,False,False
Persian,53,440,65,70,60,65,65,115,False,Normal,None,Classy Cat Pokémon,Limber,Technician,Unnerve,Generation 1,Field,None,False,False,False
Persian(Alolan Persian),53,440,65,60,60,75,65,115,False,Dark,None,Classy Cat Pokémon,Fur Coat,Technician,Rattled,Generation 7,Field,None,False,False,False
Psyduck,54,320,50,52,48,65,50,55,False,Water,None,Duck Pokémon,Damp,Cloud Nine,Swift Swim,Generation 1,Field,Water 1,False,False,False
Golduck,55,500,80,82,78,95,80,85,False,Water,None,Duck Pokémon,Damp,Cloud Nine,Swift Swim,Generation 1,Field,Water 1,False,False,False
Mankey,56,305,40,80,35,35,45,70,False,Fighting,None,Pig Monkey Pokémon,Vital Spirit,Anger Point,Defiant,Generation 1,Field,None,False,False,False
Primeape,57,455,65,105,60,60,70,95,False,Fighting,None,Pig Monkey Pokémon,Vital Spirit,Anger Point,Defiant,Generation 1,Field,None,False,False,False
Growlithe,58,350,55,70,45,70,50,60,False,Fire,None,Puppy Pokémon,Intimidate,Flash Fire,Justified,Generation 1,Field,None,False,False,False
Growlithe(Hisuian Growlithe),58,350,60,75,45,65,50,55,False,Fire,Rock,Puppy Pokémon,Intimidate,Flash Fire,Rock Head,Generation 1,Field,None,False,False,False
Arcanine,59,555,90,110,80,100,80,95,False,Fire,None,Legendary Pokémon,Intimidate,Flash Fire,Justified,Generation 1,Field,None,False,False,False
Arcanine(Hisuian Arcanine),59,555,95,115,80,95,80,90,False,Fire,Rock,Legendary Pokémon,Intimidate,Flash Fire,Rock Head,Generation 1,Field,None,False,False,False
Poliwag,60,300,40,50,40,40,40,90,False,Water,None,Tadpole Pokémon,Water Absorb,Damp,Swift Swim,Generation 1,Water 1,None,False,False,False
Poliwhirl,61,385,65,65,65,50,50,90,False,Water,None,Tadpole Pokémon,Water Absorb,Damp,Swift Swim,Generation 1,Water 1,None,False,False,False
Poliwrath,62,510,90,95,95,70,90,70,False,Water,Fighting,Tadpole Pokémon,Water Absorb,Damp,Swift Swim,Generation 1,Water 1,None,False,False,False
Abra,63,310,25,20,15,105,55,90,False,Psychic,None,Psi Pokémon,Synchronize,Inner Focus,Magic Guard,Generation 1,Human-Like,None,False,False,False
Kadabra,64,400,40,35,30,120,70,105,False,Psychic,None,Psi Pokémon,Synchronize,Inner Focus,Magic Guard,Generation 1,Human-Like,None,False,False,False
Alakazam,65,500,55,50,45,135,95,120,False,Psychic,None,Psi Pokémon,Synchronize,Inner Focus,Magic Guard,Generation 1,Human-Like,None,False,False,False
Alakazam(Mega Alakazam),65,600,55,50,65,175,105,150,True,Psychic,None,Psi Pokémon,Trace,None,None,Generation 6,Human-Like,None,False,False,False
Machop,66,305,70,80,50,35,35,35,False,Fighting,None,Superpower Pokémon,Guts,No Guard,Steadfast,Generation 1,Human-Like,None,False,False,False
Machoke,67,405,80,100,70,50,60,45,False,Fighting,None,Superpower Pokémon,Guts,No Guard,Steadfast,Generation 1,Human-Like,None,False,False,False
Machamp,68,505,90,130,80,65,85,55,False,Fighting,None,Superpower Pokémon,Guts,No Guard,Steadfast,Generation 1,Human-Like,None,False,False,False
Bellsprout,69,300,50,75,35,70,30,40,False,Grass,Poison,Flower Pokémon,Chlorophyll,None,Gluttony,Generation 1,Grass,None,False,False,False
Weepinbell,70,390,65,90,50,85,45,55,False,Grass,Poison,Flycatcher Pokémon,Chlorophyll,None,Gluttony,Generation 1,Grass,None,False,False,False
Victreebel,71,490,80,105,65,100,70,70,False,Grass,Poison,Flycatcher Pokémon,Chlorophyll,None,Gluttony,Generation 1,Grass,None,False,False,False
Tentacool,72,335,40,40,35,50,100,70,False,Water,Poison,Jellyfish Pokémon,Clear Body,Liquid Ooze,Rain Dish,Generation 1,Water 3,None,False,False,False
Tentacruel,73,515,80,70,65,80,120,100,False,Water,Poison,Jellyfish Pokémon,Clear Body,Liquid Ooze,Rain Dish,Generation 1,Water 3,None,False,False,False
Geodude,74,300,40,80,100,30,30,20,False,Rock,Ground,Rock Pokémon,Rock Head,Sturdy,Sand Veil,Generation 1,Mineral,None,False,False,False
Geodude(Alolan Geodude),74,300,40,80,100,30,30,20,False,Rock,Electric,Rock Pokémon,Magnet Pull,Sturdy,Galvanize,Generation 7,Mineral,None,False,False,False
Graveler,75,390,55,95,115,45,45,35,False,Rock,Ground,Rock Pokémon,Rock Head,Sturdy,Sand Veil,Generation 1,Mineral,None,False,False,False
Graveler(Alolan Graveler),75,390,55,95,115,45,45,35,False,Rock,Electric,Rock Pokémon,Magnet Pull,Sturdy,Galvanize,Generation 7,Mineral,None,False,False,False
Golem,76,495,80,120,130,55,65,45,False,Rock,Ground,Megaton Pokémon,Rock Head,Sturdy,Sand Veil,Generation 1,Mineral,None,False,False,False
Golem(Alolan Golem),76,495,80,120,130,55,65,45,False,Rock,Electric,Megaton Pokémon,Magnet Pull,Sturdy,Galvanize,Generation 7,Mineral,None,False,False,False
Ponyta,77,410,50,85,55,65,65,90,False,Fire,None,Fire Horse Pokémon,Run Away,Flash Fire,Flame Body,Generation 1,Field,None,False,False,False
Ponyta(Galarian Ponyta),77,410,50,85,55,65,65,90,False,Psychic,None,Fire Horse Pokémon,Run Away,Pastel Veil,Anticipation,Generation 8,Field,None,False,False,False
Rapidash,78,500,65,100,70,80,80,105,False,Fire,None,Fire Horse Pokémon,Run Away,Flash Fire,Flame Body,Generation 1,Field,None,False,False,False
Rapidash(Galarian Rapidash),78,500,65,100,70,80,80,105,False,Psychic,Fairy,Fire Horse Pokémon,Run Away,Pastel Veil,Anticipation,Generation 8,Field,None,False,False,False
Slowpoke,79,315,90,65,65,40,40,15,False,Water,Psychic,Dopey Pokémon,Oblivious,Own Tempo,Regenerator,Generation 1,Monster,Water 1,False,False,False
Slowpoke(Galarian Slowpoke),79,315,90,65,65,40,40,15,False,Psychic,None,Dopey Pokémon,Gluttony,Own Tempo,Regenerator,Generation 8,Monster,Water 1,False,False,False
Slowbro,80,490,95,75,110,100,80,30,False,Water,Psychic,Hermit Crab Pokémon,Oblivious,Own Tempo,Regenerator,Generation 1,Monster,Water 1,False,False,False
Slowbro(Mega Slowbro),80,590,95,75,180,130,80,30,True,Water,Psychic,Hermit Crab Pokémon,Shell Armor,None,None,Generation 6,Monster,Water 1,False,False,False
Slowbro(Galarian Slowbro),80,490,95,100,95,100,70,30,False,Poison,Psychic,Hermit Crab Pokémon,Quick Draw,Own Tempo,Regenerator,Generation 8,Monster,Water 1,False,False,False
Magnemite,81,325,25,35,70,95,55,45,False,Electric,Steel,Magnet Pokémon,Magnet Pull,Sturdy,Analytic,Generation 1,Mineral,None,False,False,False
Magneton,82,465,50,60,95,120,70,70,False,Electric,Steel,Magnet Pokémon,Magnet Pull,Sturdy,Analytic,Generation 1,Mineral,None,False,False,False
Farfetch'd,83,377,52,90,55,58,62,60,False,Normal,Flying,Wild Duck Pokémon,Keen Eye,Inner Focus,Defiant,Generation 1,Field,Flying,False,False,False
Farfetch'd(Galarian Farfetch'd),83,377,52,95,55,58,62,55,False,Fighting,None,Wild Duck Pokémon,Steadfast,None,Scrappy,Generation 8,Field,Flying,False,False,False
Doduo,84,310,35,85,45,35,35,75,False,Normal,Flying,Twin Bird Pokémon,Run Away,Early Bird,Tangled Feet,Generation 1,Flying,None,False,False,False
Dodrio,85,470,60,110,70,60,60,110,False,Normal,Flying,Triple Bird Pokémon,Run Away,Early Bird,Tangled Feet,Generation 1,Flying,None,False,False,False
Seel,86,325,65,45,55,45,70,45,False,Water,None,Sea Lion Pokémon,Thick Fat,Hydration,Ice Body,Generation 1,Field,Water 1,False,False,False
Dewgong,87,475,90,70,80,70,95,70,False,Water,Ice,Sea Lion Pokémon,Thick Fat,Hydration,Ice Body,Generation 1,Field,Water 1,False,False,False
Grimer,88,325,80,80,50,40,50,25,False,Poison,None,Sludge Pokémon,Stench,Sticky Hold,Poison Touch,Generation 1,Amorphous,None,False,False,False
Grimer(Alolan Grimer),88,325,80,80,50,40,50,25,False,Poison,Dark,Sludge Pokémon,Poison Touch,Gluttony,Power of Alchemy,Generation 7,Amorphous,None,False,False,False
Muk,89,500,105,105,75,65,100,50,False,Poison,None,Sludge Pokémon,Stench,Sticky Hold,Poison Touch,Generation 1,Amorphous,None,False,False,False
Muk(Alolan Muk),89,500,105,105,75,65,100,50,False,Poison,Dark,Sludge Pokémon,Poison Touch,Gluttony,Power of Alchemy,Generation 7,Amorphous,None,False,False,False
Shellder,90,305,30,65,100,45,25,40,False,Water,None,Bivalve Pokémon,Shell Armor,Skill Link,Overcoat,Generation 1,Water 3,None,False,False,False
Cloyster,91,525,50,95,180,85,45,70,False,Water,Ice,Bivalve Pokémon,Shell Armor,Skill Link,Overcoat,Generation 1,Water 3,None,False,False,False
Gastly,92,310,30,35,30,100,35,80,False,Ghost,Poison,Gas Pokémon,Levitate,None,None,Generation 1,Amorphous,None,False,False,False
Haunter,93,405,45,50,45,115,55,95,False,Ghost,Poison,Gas Pokémon,Levitate,None,None,Generation 1,Amorphous,None,False,False,False
Gengar,94,500,60,65,60,130,75,110,False,Ghost,Poison,Shadow Pokémon,Cursed Body,None,None,Generation 1,Amorphous,None,False,False,False
Gengar(Mega Gengar),94,600,60,65,80,170,95,130,True,Ghost,Poison,Shadow Pokémon,Shadow Tag,None,None,Generation 6,Amorphous,None,False,False,False
Onix,95,385,35,45,160,30,45,70,False,Rock,Ground,Rock Snake Pokémon,Rock Head,Sturdy,Weak Armor,Generation 1,Mineral,None,False,False,False
Drowzee,96,328,60,48,45,43,90,42,False,Psychic,None,Hypnosis Pokémon,Insomnia,Forewarn,Inner Focus,Generation 1,Human-Like,None,False,False,False
Hypno,97,483,85,73,70,73,115,67,False,Psychic,None,Hypnosis Pokémon,Insomnia,Forewarn,Inner Focus,Generation 1,Human-Like,None,False,False,False
Krabby,98,325,30,105,90,25,25,50,False,Water,None,River Crab Pokémon,Hyper Cutter,Shell Armor,Sheer Force,Generation 1,Water 3,None,False,False,False
Kingler,99,475,55,130,115,50,50,75,False,Water,None,Pincer Pokémon,Hyper Cutter,Shell Armor,Sheer Force,Generation 1,Water 3,None,False,False,False
Voltorb,100,330,40,30,50,55,55,100,False,Electric,None,Ball Pokémon,Soundproof,Static,Aftermath,Generation 1,Mineral,None,False,False,False
Voltorb(Hisuian Voltorb),100,330,40,30,50,55,55,100,False,Electric,Grass,Ball Pokémon,Soundproof,Static,Aftermath,Generation 1,Mineral,None,False,False,False
Electrode,101,490,60,50,70,80,80,150,False,Electric,None,Ball Pokémon,Soundproof,Static,Aftermath,Generation 1,Mineral,None,False,False,False
Electrode(Hisuian Electrode),101,490,60,50,70,80,80,150,False,Electric,Grass,Ball Pokémon,Soundproof,Static,Aftermath,Generation 1,Mineral,None,False,False,False
Exeggcute,102,325,60,40,80,60,45,40,False,Grass,Psychic,Egg Pokémon,Chlorophyll,None,Harvest,Generation 1,Grass,None,False,False,False
Exeggutor,103,530,95,95,85,125,75,55,False,Grass,Psychic,Coconut Pokémon,Chlorophyll,None,Harvest,Generation 1,Grass,None,False,False,False
Exeggutor(Alolan Exeggutor),103,530,95,105,85,125,75,45,False,Grass,Dragon,Coconut Pokémon,Frisk,None,Harvest,Generation 7,Grass,None,False,False,False
Cubone,104,320,50,50,95,40,50,35,False,Ground,None,Lonely Pokémon,Rock Head,Lightning Rod,Battle Armor,Generation 1,Monster,None,False,False,False
Marowak,105,425,60,80,110,50,80,45,False,Ground,None,Bone Keeper Pokémon,Rock Head,Lightning Rod,Battle Armor,Generation 1,Monster,None,False,False,False
Marowak(Alolan Marowak),105,425,60,80,110,50,80,45,False,Fire,Ghost,Bone Keeper Pokémon,Cursed Body,Lightning Rod,Rock Head,Generation 7,Monster,None,False,False,False
Hitmonlee,106,455,50,120,53,35,110,87,False,Fighting,None,Kicking Pokémon,Limber,Reckless,Unburden,Generation 1,Human-Like,None,False,False,False
Hitmonchan,107,455,50,105,79,35,110,76,False,Fighting,None,Punching Pokémon,Keen Eye,Iron Fist,Inner Focus,Generation 1,Human-Like,None,False,False,False
Lickitung,108,385,90,55,75,60,75,30,False,Normal,None,Licking Pokémon,Own Tempo,Oblivious,Cloud Nine,Generation 1,Monster,None,False,False,False
Koffing,109,340,40,65,95,60,45,35,False,Poison,None,Poison Gas Pokémon,Levitate,Neutralizing Gas,Stench,Generation 1,Amorphous,None,False,False,False
Weezing,110,490,65,90,120,85,70,60,False,Poison,None,Poison Gas Pokémon,Levitate,Neutralizing Gas,Stench,Generation 1,Amorphous,None,False,False,False
Weezing(Galarian Weezing),110,490,65,90,120,85,70,60,False,Poison,Fairy,Poison Gas Pokémon,Levitate,Neutralizing Gas,Misty Surge,Generation 8,Amorphous,None,False,False,False
Rhyhorn,111,345,80,85,95,30,30,25,False,Ground,Rock,Spikes Pokémon,Lightning Rod,Rock Head,Reckless,Generation 1,Field,Monster,False,False,False
Rhydon,112,485,105,130,120,45,45,40,False,Ground,Rock,Drill Pokémon,Lightning Rod,Rock Head,Reckless,Generation 1,Field,Monster,False,False,False
Chansey,113,450,250,5,5,35,105,50,False,Normal,None,Egg Pokémon,Natural Cure,Serene Grace,Healer,Generation 1,Fairy,None,False,False,False
Tangela,114,435,65,55,115,100,40,60,False,Grass,None,Vine Pokémon,Chlorophyll,Leaf Guard,Regenerator,Generation 1,Grass,None,False,False,False
Kangaskhan,115,490,105,95,80,40,80,90,False,Normal,None,Parent Pokémon,Early Bird,Scrappy,Inner Focus,Generation 1,Monster,None,False,False,False
Kangaskhan(Mega Kangaskhan),115,590,105,125,100,60,100,100,True,Normal,None,Parent Pokémon,Parental Bond,None,None,Generation 6,Monster,None,False,False,False
Horsea,116,295,30,40,70,70,25,60,False,Water,None,Dragon Pokémon,Swift Swim,Sniper,Damp,Generation 1,Dragon,Water 1,False,False,False
Seadra,117,440,55,65,95,95,45,85,False,Water,None,Dragon Pokémon,Poison Point,Sniper,Damp,Generation 1,Dragon,Water 1,False,False,False
Goldeen,118,320,45,67,60,35,50,63,False,Water,None,Goldfish Pokémon,Swift Swim,Water Veil,Lightning Rod,Generation 1,Water 2,None,False,False,False
Seaking,119,450,80,92,65,65,80,68,False,Water,None,Goldfish Pokémon,Swift Swim,Water Veil,Lightning Rod,Generation 1,Water 2,None,False,False,False
Staryu,120,340,30,45,55,70,55,85,False,Water,None,Star Shape Pokémon,Illuminate,Natural Cure,Analytic,Generation 1,Water 3,None,False,False,False
Starmie,121,520,60,75,85,100,85,115,False,Water,Psychic,Mysterious Pokémon,Illuminate,Natural Cure,Analytic,Generation 1,Water 3,None,False,False,False
Mr. Mime,122,460,40,45,65,100,120,90,False,Psychic,Fairy,Barrier Pokémon,Soundproof,Filter,Technician,Generation 1,Human-Like,None,False,False,False
Mr. Mime(Galarian Mr. Mime),122,460,50,65,65,90,90,100,False,Ice,Psychic,Barrier Pokémon,Vital Spirit,Screen Cleaner,Ice Body,Generation 8,Human-Like,None,False,False,False
Scyther,123,500,70,110,80,55,80,105,False,Bug,Flying,Mantis Pokémon,Swarm,Technician,Steadfast,Generation 1,Bug,None,False,False,False
Jynx,124,455,65,50,35,115,95,95,False,Ice,Psychic,Human Shape Pokémon,Oblivious,Forewarn,Dry Skin,Generation 1,Human-Like,None,False,False,False
Electabuzz,125,490,65,83,57,95,85,105,False,Electric,None,Electric Pokémon,Static,None,Vital Spirit,Generation 1,Human-Like,None,False,False,False
Magmar,126,495,65,95,57,100,85,93,False,Fire,None,Spitfire Pokémon,Flame Body,None,Vital Spirit,Generation 1,Human-Like,None,False,False,False
Pinsir,127,500,65,125,100,55,70,85,False,Bug,None,Stag Beetle Pokémon,Hyper Cutter,Mold Breaker,Moxie,Generation 1,Bug,None,False,False,False
Pinsir(Mega Pinsir),127,600,65,155,120,65,90,105,True,Bug,Flying,Stag Beetle Pokémon,Aerilate,None,None,Generation 6,Bug,None,False,False,False
Tauros,128,490,75,100,95,40,70,110,False,Normal,None,Wild Bull Pokémon,Intimidate,Anger Point,Sheer Force,Generation 1,Field,None,False,False,False
Tauros(Combat Breed),128,490,75,110,105,30,70,100,False,Fighting,None,Wild Bull Pokémon,Intimidate,Anger Point,Cud Chew,Generation 1,Field,None,False,False,False
Tauros(Blaze Breed),128,490,75,110,105,30,70,100,False,Fighting,Fire,Wild Bull Pokémon,Intimidate,Anger Point,Cud Chew,Generation 1,Field,None,False,False,False
